Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,40949,,,,40949,,60350,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,621267,,,,621267,,3293237,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,120930,,,,120930,,472126,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,25224,,,,25224,,536228,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,646291,,,,646291,,13321166,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,41492,,,,41492,,150087,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,269856,,,,269856,,1850972,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,70269,,,,70269,,461585,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,10539,,,,10539,,216978,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,353400,,,,353400,,5539501,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,17220,,,,17220,,45754,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,673097,,,,673097,,8771974,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,107443,,,,107443,,1115149,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,41945,,,,41945,,951402,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,729875,,,,729875,,13770761,,,0
H5,2020,2020,2020,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,4329,,,,4329,,20277,,,0
H5,2020,2020,2020,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,317048,,,,317048,,5060047,,,0
H5,2020,2020,2020,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,84417,,,,84417,,409146,,,0
H5,2020,2020,2020,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,16901,,,,16901,,354810,,,0
H5,2020,2020,2020,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,205490,,,,205490,,2295196,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,308008,,,,308008,,283634,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,303755,,,,303755,,1884406,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,567766,,,,567766,,1770524,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,63616,,,,63616,,891053,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,1315693,,,,1315693,,22435634,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,36677,,,,36677,,30008,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,474227,,,,474227,,6454679,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,668988,,,,668988,,2953694,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,144473,,,,144473,,2291758,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,846023,,,,846023,,12997700,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,109960,,,,109960,,317724,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,458768,,,,458768,,4615869,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,677889,,,,677889,,4167755,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,159197,,,,159197,,3571281,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,833850,,,,833850,,16920849,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,687285,,,,687285,,3964867,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,389638,,,,389638,,2339165,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,64675,,,,64675,,1075737,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,417853,,,,417853,,6881467,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,187,,,,187,,3044,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,893070,,,,893070,,3874309,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,312990,,,,312990,,1843077,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,55388,,,,55388,,734985,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",8,Weight in kilograms,652444,,,,652444,,10040290,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,5115,,,,5115,,13015,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,186042,,,,186042,,1736975,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,490635,,,,490635,,1094379,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,2429924,,,,2429924,,39190111,,,0
H3,2011,2011,2011,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,111018,,,,111018,,1875570,,,0
H3,2011,2011,2011,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,395439,,,,395439,,1373464,,,0
H3,2011,2011,2011,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,87097,,,,87097,,1240400,,,0
H3,2011,2011,2011,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030614,"Crabs, whether/not in shell, frozen",8,Weight in kilograms,1839452,,,,1839452,,35970777,,,0
H1,1996,1996,1996,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030614,"Crabs, frozen",8,Weight in kilograms,1125,,,,1125,,3300,,,0
H1,1996,1996,1996,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030614,"Crabs, frozen",8,Weight in kilograms,290875,,,,290875,,1504020,,,0
H1,1996,1996,1996,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030614,"Crabs, frozen",8,Weight in kilograms,58957,,,,58957,,314237,,,0
