Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,9910,,,,9910,,53641,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,569887,,,,569887,,3028706,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,30725,,,,30725,,104758,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,52711,,,,52711,,431436,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,48024,,,,48024,,263798,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,1514325,,,,1514325,,9075881,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,41777,,,,41777,,205926,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,24850,,,,24850,,265398,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,151433,,,,151433,,695116,,,0
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,1604545,,,,1604545,,7414244,,,0
